t_H,dBz
1.917688990943133831e-03,-2.407488430833382154e-09
1.924703363329172134e-03,-2.388468312020108897e-09
1.931730541400611401e-03,-2.368460538804129101e-09
1.938770525157451630e-03,-2.353592432058349004e-09
1.945823314599692822e-03,-2.342540827982020346e-09
1.952888909727334976e-03,-2.328194748102418998e-09
1.959967426955699921e-03,-2.309171520664676791e-09
1.967058749869465828e-03,-2.292605216780430055e-09
1.974162878468632698e-03,-2.273486732207175010e-09
1.981279812753200531e-03,-2.253993436340806511e-09
1.988409552723169327e-03,-2.243205621255128790e-09
1.995552098378539085e-03,-2.237111385028356381e-09
2.002707449719309807e-03,-2.223813577728606106e-09
2.009875606745481491e-03,-2.203460969241177736e-09
2.017056569457054138e-03,-2.188371261979682458e-09
2.024250337854027748e-03,-2.179306068939013130e-09
2.031456911936402321e-03,-2.164068479970637782e-09
